tweet;target;label 
O rio chegou as piscinas? #cheias #amarante o carro do cunha ta a boiar... https://t.co/NppGtGqKuL;cheias;Relacionado
Autarca do Centro Histórico do #Porto defende medidas para fazer face ao risco de #cheias: O presidente… https://t.co/AGGwPOK1ot #dnoticias;cheias;Relacionado
RT @jmarquesbarbosa: Admiram-se das cheias? https://t.co/UzCDadUq66;cheias;Relacionado
Admiram-se das cheias? https://t.co/UzCDadUq66;cheias;Relacionado
#ouvidonocafé "quando o Costa era presidente da cm de Lisboa às cheias eram só em Lisboa, agora como é PM, são no país todo";cheias;Relacionado
RT @tuga_news: [Noticias ao Minuto] Autarca do Centro Histórico defende medidas para fazer face às cheias https://t.co/UGDqiFdvT0;cheias;Relacionado
[Noticias ao Minuto] Autarca do Centro Histórico defende medidas para fazer face às cheias https://t.co/UGDqiFdvT0;cheias;Relacionado
RT @RTPNoticias: Proteção Civil alerta para continuação de cheias https://t.co/dFDOswf8JK;cheias;Relacionado
@maciel_mac Só se for para cheias na tua casa, Mala está para os teus lados :);cheias;Nao Relacionado
[DNoticias] Gondomar com várias equipas no terreno devido à eminência de cheias no Douro https://t.co/mVpRgH1w6f #madeira;cheias;Relacionado
O rio chegou as piscinas? #cheias #amarante o carro do cunha ta a boiar... https://t.co/NppGtGqKuL;cheias;Nao Relacionado
Autarca do Centro Histórico do #Porto defende medidas para fazer face ao risco de #cheias: O presidente… https://t.co/AGGwPOK1ot #dnoticias;cheias;Nao Relacionado
