tweet;target;label 
Marcelo anda por Portugal a ver as inundações do passos;Passos Coelho;Relacionado
Marcelo anda por Portugal a ver as inundações q do passos;Passos Coelho;Relacionado
Marcelo considera ausência de Passos na campanha sensata e respeitável https://t.co/W0fACWcRMd;Passos Coelho;Nao Relacionado
RT @sergiolavos: Passos Coelho 2.0. https://t.co/LHB0GxRpH0;Passos Coelho;Relacionado
RT @ruitavares: "Marcelo apelou ao voto em Passos Coelho e Paulo Portas... e agora apresenta-se como se fosse deste tempo novo.";Passos Coelho;Relacionado
Before the end of 2015, I had the pleasure of working once again with Porcelanas Costa Verde and… https://t.co/kT9tqNkyu4;Antonio Costa;Nao Relacionado
À Pala de Walsh. "Jornal Português: quando as estrelas davam à costa" https://t.co/LoRsKrWIhT;Antonio Costa;Nao Relacionado
RT @a_refilonaa: Quando o Carlos Costa acaba o serviço a um cliente. #odesafio https://t.co/NZc4EwR8PD;Antonio Costa;Nao Relacionado
Adeus maquilhagem do Carlos Costa com a tarte na cara #ODesafio;Antonio Costa;Nao Relacionado
@_kittenzilla nunca percebi muito bem o encanto... o costa ate no simples café dá 10 a 0;Antonio Costa;Nao Relacionado
Marcelo anda por Portugal a ver as inundações do passos;Passos Coelho;
Marcelo anda por Portugal a ver as inundações q do passos;Passos Coelho;
Marcelo considera ausência de Passos na campanha sensata e respeitável https://t.co/W0fACWcRMd;Passos Coelho;
RT @sergiolavos: Passos Coelho 2.0. https://t.co/LHB0GxRpH0;Passos Coelho;
RT @ruitavares: "Marcelo apelou ao voto em Passos Coelho e Paulo Portas... e agora apresenta-se como se fosse deste tempo novo.";Passos Coelho;
Before the end of 2015, I had the pleasure of working once again with Porcelanas Costa Verde and… https://t.co/kT9tqNkyu4;Antonio Costa;
À Pala de Walsh. "Jornal Português: quando as estrelas davam à costa" https://t.co/LoRsKrWIhT;Antonio Costa;
RT @a_refilonaa: Quando o Carlos Costa acaba o serviço a um cliente. #odesafio https://t.co/NZc4EwR8PD;Antonio Costa;
Adeus maquilhagem do Carlos Costa com a tarte na cara #ODesafio;Antonio Costa;
@_kittenzilla nunca percebi muito bem o encanto... o costa ate no simples café dá 10 a 0;Antonio Costa;
